GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2020-08-06,21901270,Final,1610612756,1610612754,2019,1610612756,114.0,0.467,0.95,0.265,27.0,53.0,1610612754,99.0,0.435,0.789,0.345,20.0,38.0,1
2020-08-06,21901271,Final,1610612742,1610612746,2019,1610612742,111.0,0.448,0.762,0.354,24.0,37.0,1610612746,126.0,0.5429999999999999,0.8,0.452,22.0,45.0,0
2020-08-06,21901272,Final,1610612743,1610612757,2019,1610612743,115.0,0.524,0.765,0.5,30.0,44.0,1610612757,125.0,0.467,0.8,0.59,30.0,39.0,0
2020-08-06,21901273,Final,1610612745,1610612747,2019,1610612745,113.0,0.429,0.87,0.368,26.0,34.0,1610612747,97.0,0.455,0.6940000000000001,0.105,18.0,48.0,1
2020-08-05,21901262,Final,1610612762,1610612763,2019,1610612762,124.0,0.452,0.909,0.4,25.0,46.0,1610612763,115.0,0.473,0.72,0.379,21.0,41.0,1
2020-08-05,21901263,Final,1610612764,1610612755,2019,1610612764,98.0,0.424,0.792,0.333,17.0,48.0,1610612755,107.0,0.463,0.69,0.379,27.0,41.0,0
2020-08-05,21901264,Final,1610612759,1610612743,2019,1610612759,126.0,0.495,0.852,0.3670000000000001,29.0,35.0,1610612743,132.0,0.5489999999999999,0.857,0.389,31.0,46.0,0
2020-08-05,21901265,Final,1610612747,1610612760,2019,1610612747,86.0,0.352,0.655,0.135,17.0,46.0,1610612760,105.0,0.43,0.889,0.208,17.0,52.0,0
2020-08-05,21901266,Final,1610612753,1610612761,2019,1610612753,99.0,0.402,0.6920000000000001,0.268,26.0,43.0,1610612761,109.0,0.487,0.7,0.364,25.0,44.0,0
2020-08-05,21901267,Final,1610612738,1610612751,2019,1610612738,149.0,0.568,0.8290000000000001,0.513,29.0,43.0,1610612751,115.0,0.474,0.81,0.25,23.0,34.0,1
